1/28/2018 1:36:31 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:43 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:43 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:43 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:43 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:43 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:43 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:43 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:43 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:45 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:45 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:45 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:46 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:46 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:46 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:46 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:46 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:46 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:46 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:46 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:46 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:48 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:48 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:48 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:49 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:49 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:49 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:49 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:49 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:49 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:49 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:49 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:49 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:51 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:51 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:51 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:52 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:52 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:52 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:52 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:52 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:52 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:52 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:52 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:52 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:55 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:55 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:55 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:56 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:56 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:56 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:56 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:56 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:56 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:56 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:56 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:56 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:36:58 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:36:58 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:36:58 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:36:59 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:36:59 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:36:59 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:36:59 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:36:59 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:36:59 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:36:59 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:36:59 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:36:59 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:01 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:01 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:01 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:02 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:02 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:02 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:02 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:02 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:02 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:02 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:02 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:02 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:04 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:04 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:04 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:05 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:05 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:05 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:05 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:05 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:05 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:05 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:05 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:05 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:07 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:07 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:07 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:08 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:08 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:08 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:08 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:08 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:08 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:08 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:08 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:08 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:10 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:10 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:10 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:11 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:11 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:11 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:11 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:11 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:11 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:11 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:11 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:11 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:13 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:13 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:13 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:14 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:14 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:14 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:14 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:14 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:14 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:14 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:14 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:14 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:16 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:16 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:16 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:17 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:17 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:17 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:17 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:17 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:17 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:17 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:17 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:17 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:19 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:19 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:19 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:20 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:20 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:20 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:20 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:20 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:20 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:20 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:20 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:20 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:22 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:22 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:22 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:23 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:23 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:23 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:23 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:23 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:23 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:23 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:23 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:23 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:25 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:25 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:25 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:26 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:26 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:26 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:26 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:26 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:26 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:26 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:26 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:26 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:28 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:28 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:28 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:29 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:29 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:29 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:29 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:29 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:29 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:29 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:29 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:29 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:31 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:31 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:31 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:32 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:32 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:32 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:32 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:32 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:32 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:32 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:32 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:32 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:34 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:34 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:34 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:35 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:35 PM: AMIClient.Model.ConnectToNMS; line: 299; Client try to connect with NMS.
1/28/2018 1:37:35 PM: AMIClient.Model.GdaQueryProxy; line: 56; Create channel between Client and NMS.
1/28/2018 1:37:35 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:35 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:35 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:35 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:35 PM: AMIClient.Model.GdaQueryProxy; line: 67; Channel Client-NMS is created.
1/28/2018 1:37:35 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
1/28/2018 1:37:37 PM: AMIClient.Model.ConnectToSC; line: 264; Client faild to connect to SC. CATCH.
1/28/2018 1:37:37 PM: AMIClient.Model.ConnectToCE; line: 286; Client faild to connect with CE. CATCH.
1/28/2018 1:37:37 PM: AMIClient.Model.ConnectToNMS; line: 310; Client faild to connect with NMS. CATCH.
1/28/2018 1:37:38 PM: AMIClient.Model.ConnectToSC; line: 256; Client try to connect to SC.
1/28/2018 1:37:38 PM: AMIClient.Model.SCProxy; line: 109; Create channel between Client and SC.
1/28/2018 1:37:38 PM: AMIClient.Model.SCProxy; line: 120; Channel Client-SC is created.
1/28/2018 1:37:38 PM: AMIClient.Model.ConnectToCE; line: 277; Client try to connect with CE.
1/28/2018 1:37:38 PM: AMIClient.Model.CEQueryProxy; line: 83; Create channel between Client and CE.
1/28/2018 1:37:38 PM: AMIClient.Model.CEQueryProxy; line: 93; Channel Client-CE is created.
